"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","platform_code","zone_id","level_id"
"de:11000:900007104::2","5","S Nordbahnhof (Berlin)","Tram u. Bussteig Invalidenstraße ht. Gartenstraße","52.531683000000","13.388813000000",0,,0,"","5555 S Nordbahnhof (Berlin)","4"
"de:11000:900100007::3","","S Oranienburger Str. (Berlin)","Ersatzhalt Tucholskystraße vor Oranienburger Straße","52.524724000000","13.392833000000",0,,0,"","5555 S Oranienburger Str. (Berlin)","4"
"de:12070:900215110:1:50","","Bad Wilsnack, Bahnhof","Bahnsteig Gleis 2","52.960114000000","11.949402000000",0,"de:12070:900215110",1,"2","4533 Bad Wilsnack, Bahnhof","50"
"de:12070:900215110:2:51","","Bad Wilsnack, Bahnhof","Bahnsteig Gleis 3","52.960219000000","11.949528000000",0,"de:12070:900215110",1,"3","4533 Bad Wilsnack, Bahnhof","50"
"de:12062:900415465:1:50","","Prösen, Bahnhof","Bahnsteig Gleis 1","51.434919000000","13.488216000000",0,"de:12062:900415465",1,"1","7958 Prösen, Bahnhof","4"
"de:12062:900415465:2:51","","Prösen, Bahnhof","Bahnsteig Gleis 2","51.434886000000","13.488277000000",0,"de:12062:900415465",1,"2","7958 Prösen, Bahnhof","4"
"de:12072:900245025:1:50","","Rangsdorf, Bahnhof","Bahnsteig Gleis 1","52.294683000000","13.430835000000",0,"de:12072:900245025",1,"1","6056 Rangsdorf, Bahnhof","4"
"de:12072:900245025:2:51","","Rangsdorf, Bahnhof","Bahnsteig Gleis 2","52.294338000000","13.430585000000",0,"de:12072:900245025",1,"2","6056 Rangsdorf, Bahnhof","4"
"de:14713:8010205","","Leipzig, Hauptbahnhof",,"51.345471000000","12.382064000000",0,,0,"","",""
"de:12066:900435000:1:50","","Senftenberg, Bahnhof","Bahnsteig 1","51.527237000000","14.004368000000",0,"de:12066:900435000",1,"1","7765 Senftenberg, Bahnhof","1"
"de:12066:900435000:1:51","","Senftenberg, Bahnhof","Bahnsteig 2","51.527283000000","14.004297000000",0,"de:12066:900435000",1,"2","7765 Senftenberg, Bahnhof","1"
"de:12066:900435000:2:52","","Senftenberg, Bahnhof","Bahnsteig 3","51.527335000000","14.004202000000",0,"de:12066:900435000",1,"3","7765 Senftenberg, Bahnhof","1"
"de:12066:900435000:2:53","","Senftenberg, Bahnhof","Bahnsteig 4","51.527387000000","14.004125000000",0,"de:12066:900435000",1,"4","7765 Senftenberg, Bahnhof","1"
"de:15091:8012393","","Mühlanger, Bahnhof",,"51.855712000000","12.748212000000",0,,0,"","",""
"de:12066:900435339:1:50","","Großräschen, Bahnhof","Bahnsteig Gleis 1","51.591481000000","14.014854000000",0,"de:12066:900435339",1,"","7665 Großräschen, Bahnhof","4"
"de:12067:900311307:1:50","","Eisenhüttenstadt, Bahnhof","Bahnsteig Gleis 1","52.148564000000","14.658408000000",0,"de:12067:900311307",1,"1","6375 Eisenhüttenstadt, Bahnhof","5"
"de:12067:900311307:1:51","","Eisenhüttenstadt, Bahnhof","Bahnsteig Gleis 2","52.148555000000","14.658512000000",0,"de:12067:900311307",1,"2","6375 Eisenhüttenstadt, Bahnhof","5"
"de:12069:900222030:1:50","","Borkheide, Bahnhof","Bahnsteig Gleis 1","52.230691000000","12.854165000000",0,"de:12069:900222030",1,"1","6247 Borkheide, Bahnhof","50"
"de:12069:900222030:2:51","","Borkheide, Bahnhof","Bahnsteig Gleis 2","52.230623000000","12.854238000000",0,"de:12069:900222030",1,"2","6247 Borkheide, Bahnhof","50"
"de:12054:900230999:1:50","","S Potsdam Hauptbahnhof","Bahnsteig Gleis 1","52.391581000000","13.066740000000",0,"de:12054:900230999",1,"1","5750 S Potsdam Hauptbahnhof","162"
"de:12054:900230999:2:52","","S Potsdam Hauptbahnhof","Bahnsteig Gleis 2","52.391485000000","13.066728000000",0,"de:12054:900230999",1,"2","5750 S Potsdam Hauptbahnhof","162"
"de:12054:900230999:1:51","","S Potsdam Hauptbahnhof","Bahnsteig Gleis 3","52.391666000000","13.066749000000",0,"de:12054:900230999",1,"3","5750 S Potsdam Hauptbahnhof","162"
"de:12054:900230999:2:53","","S Potsdam Hauptbahnhof","Bahnsteig Gleis 4","52.391421000000","13.066721000000",0,"de:12054:900230999",1,"4","5750 S Potsdam Hauptbahnhof","162"
"de:12068:900205022:1:50","","Netzeband, Bahnhof","Bahnsteig Gleis 1","52.995543000000","12.628078000000",0,"de:12068:900205022",1,"1","4444 Netzeband, Bahnhof","5"
"de:12054:900230002:1:52","","Potsdam, Pirschheide Bhf","Bahnsteig Gleis 1","52.372776000000","13.010740000000",0,"de:12054:900230002",0,"1","5851 Potsdam, Pirschheide Bhf","5"
"de:12054:900230002:1:50","","Potsdam, Pirschheide Bhf","Bahnsteig Gleis 2","52.372870000000","13.010847000000",0,"de:12054:900230002",0,"2","5851 Potsdam, Pirschheide Bhf","5"
"de:12054:900230002:2:51","","Potsdam, Pirschheide Bhf","Bahnsteig Gleis 3","52.373084000000","13.011550000000",0,"de:12054:900230002",0,"3","5851 Potsdam, Pirschheide Bhf","4"
"de:15089:8010318","","Schönebeck(Elbe)",,"52.018794000000","11.733157000000",0,,0,"","",""
